elapsed_ms,sensor_value,rolling_std,is_active,event
21180,234,651.5952220000795,True,
21281,448,604.2204343890836,True,
21378,1620,746.1429711076375,True,
21478,1751,717.4670724151736,True,
21579,1751,75.63288526384213,False,end_2
21678,1785,19.629909152452967,False,
21778,1783,19.07878402834501,False,
21878,1783,1.15470053848359,False,
21979,1791,4.618802153543312,False,
22078,1803,10.066445913706712,False,
22178,1804,7.2341781380879,False,
22278,1811,4.358898943570654,False,
22381,1809,3.6055512755004555,False,
22478,1809,1.1547005384936586,False,
22578,1815,3.4641016151760216,False,
22678,1813,3.0550504633474636,False,
22778,1821,4.163331998964674,False,
22882,1815,4.163331998964674,False,
22978,1816,3.214550253706434,False,
23078,1819,2.081665999531055,False,
23178,1815,2.081665999531055,False,
23280,1815,2.3094010768169655,False,
23378,1817,1.154700538495947,False,
23478,1820,2.5166114784774356,False,
23578,1821,2.081665999531674,False,
23678,1817,2.081665999531674,False,
23778,1823,3.055050463348701,False,
23879,1817,3.4641016151771127,False,
23978,1821,3.055050463348701,False,
24078,1821,2.3094010768176627,False,
24178,1821,0.0,False,
24278,1819,1.154700538497899,False,
24378,1823,2.000000000068624,False,
24478,1822,2.081665999532138,False,
24578,1824,1.00000000013813,False,
24678,1827,2.5166114784787115,False,
24779,1829,2.5166114784791596,False,
24882,1822,3.6055512755027492,False,
24987,1821,4.3588989435725525,False,
25079,1823,1.0000000001381597,False,
25178,1821,1.1547005384987536,False,
25278,1821,1.1547005384987536,False,
25394,1823,1.1547005384987536,False,
25478,1829,4.163331998965705,False,
25580,1832,4.58257569498656,False,
25678,1832,1.7320508076508436,False,
25778,1836,2.309401076820413,False,
25878,1833,2.081665999534879,False,
25978,1830,3.0000000000476454,False,
26078,1832,1.5275252317451855,False,
26178,1832,1.154700538502431,False,
26278,1831,0.5773502694362145,False,
26378,1829,1.5275252317448134,False,
26479,1829,1.1547005385016598,False,
26578,1828,0.577350269433556,False,
26685,1813,8.962886439847942,False,
26777,548,734.7164986124466,True,start_3
26878,333,799.6718076811259,True,
26980,2334,1098.485472518109,True,
27078,252,1179.3561802949944,True,
27178,631,1108.9464970562524,True,
27278,249,219.68689841074308,True,
27378,295,208.54096320227393,True,
27478,254,25.238858928222438,False,
27579,253,23.9652526239981,False,
27678,437,105.94495426084289,True,
27778,335,92.18098140794618,False,
27880,1578,690.0886416492685,True,
27978,261,739.9340060663062,True,
28078,313,745.8125322983869,True,
28178,329,35.55277766924447,False,
28278,266,32.746501085338295,False,
28378,285,32.31614663495717,False,
28478,1839,902.7371341278326,True,
28579,2109,984.4450213191184,True,
28678,295,978.7263832825458,True,
28778,271,1054.3098848694024,True,
28879,266,15.50268793892515,False,
28977,368,57.50072463310113,False,
29081,1967,953.9921383323864,True,
29179,2365,1056.9779247142928,True,
29278,2007,219.15291465093608,True,
29387,1999,209.0390713080543,True,
29490,2009,5.291502622154411,False,end_3
29592,2015,8.08290376867157,False,
29694,2019,5.03322295687534,False,
29781,2027,6.110100926631833,False,
29880,2031,6.110100926632602,False,
29978,2035,4.0000000000391465,False,
30078,2037,3.0550504633561535,False,
30178,2035,1.1547005385184872,False,
30278,2036,1.0000000001610785,False,
30380,2035,0.5773502694675391,False,
30478,2029,3.7859388972421133,False,
30578,2031,3.0550504633553843,False,
30678,2029,1.1547005385139084,False,
30778,2029,1.1547005385139084,False,
30880,2031,1.1547005385139084,False,
30978,2031,1.1547005385144171,False,
31078,2031,0.0,False,
31179,2032,0.5773502694614336,False,
31284,2034,1.5275252317552386,False,
31379,2031,1.5275252317552386,False,
31478,2038,3.5118845843296596,False,
31583,2035,3.511884584329743,False,
31678,2031,3.511884584329743,False,
31778,2032,2.081665999542014,False,
31882,2036,2.6457513111244406,False,
31978,2037,2.645751311125171,False,
32078,2037,0.577350269470014,False,
32178,2040,1.732050807663073,False,
32279,2039,1.52752523175917,False,
32378,2039,0.5773502694743787,False,
32479,2042,1.7320508076641887,False,
32578,2040,1.527525231760243,False,
32678,2037,2.5166114784890605,False,
32779,2040,1.7320508076636802,False,
32878,2040,1.7320508076636802,False,
32980,2037,1.7320508076636802,False,
33078,2040,1.7320508076636802,False,
33179,2042,2.5166114784890605,False,
33280,2041,1.0000000001659939,False,
33382,2039,1.5275252317604353,False,
33479,2040,1.0000000001651128,False,
33578,2040,0.5773502694750354,False,
33688,2039,0.5773502694750354,False,
33778,2043,2.081665999545728,False,
33879,2040,2.081665999545728,False,
33981,2041,1.5275252317608201,False,
34081,2047,3.7859388972444425,False,
34178,2046,3.214550253717012,False,
34278,2045,1.0000000001705698,False,
34378,2074,16.46207763316512,False,
34478,1564,286.4442935953401,True,start_4
34578,288,919.9702893753321,True,
34680,700,651.206060577857,True,
34778,247,250.5440746322505,True,
34878,250,260.67796224460045,True,
34979,811,324.7629905023007,True,
35078,263,320.2067040730577,True,
35181,293,308.09305953450297,True,
35279,2066,1032.411255266039,True,
35379,595,948.5580284480923,True,
35480,1867,798.0628630210359,True,
35578,443,781.9701614085615,True,
35678,265,878.053149492291,True,
35778,269,101.63332786704666,True,
35879,277,6.110100926377068,False,end_4
35978,288,9.53939201402231,False,
36079,287,6.082762530068226,False,
36184,288,0.5773502667714678,False,
36284,287,0.5773502667710043,False,
36378,291,2.0816659987958452,False,
36478,285,3.0550504628469044,False,
36578,286,3.214550253229923,False,
36678,287,0.999999998602546,False,
36778,293,3.7859388968316323,False,
36878,288,3.2145502532304286,False,
36978,289,2.6457513105376242,False,
37078,287,0.9999999986042147,False,
37180,291,1.9999999993024982,False,
37278,288,2.081665998795865,False,
37378,293,2.516611477869801,False,
37478,291,2.516611477869801,False,
37580,287,3.0550504628476327,False,
37681,288,2.0816659987958857,False,
37779,291,2.0816659987958857,False,
37888,294,2.999999999535539,False,
37986,285,4.5825756946516085,False,
38079,287,4.725815625957372,False,
38188,288,1.527525230737493,False,
38278,295,4.358898943220817,False,
38381,293,3.6055512750777354,False,
38478,291,1.9999999993040616,False,
38578,291,1.1547005371729402,False,
38678,287,2.309401076154646,False,
38778,295,3.9999999996516187,False,
38878,292,4.041451883982638,False,
38978,295,1.7320508067656997,False,
39078,294,1.5275252307410616,False,
39178,292,1.5275252307410616,False,
39281,295,1.5275252307410616,False,
39383,292,1.7320508067652485,False,
39482,288,3.5118845838875874,False,
39578,294,3.055050462847826,False,
39678,295,3.7859388968323704,False,
39778,291,2.081665998797573,False,
39878,294,2.081665998797573,False,
39978,291,1.7320508067647604,False,
40078,291,1.7320508067647604,False,
40178,291,0.0,False,
40278,291,0.0,False,
40378,293,1.154700537172867,False,
40478,290,1.527525230739835,False,
40578,288,2.516611477869636,False,
40678,289,0.9999999986048694,False,
40778,290,0.9999999986048694,False,
40878,293,2.0816659987965753,False,
40978,291,1.527525230739849,False,
41078,291,1.1547005371728853,False,
41178,292,0.5773502667764173,False,
